#{"t_start": 1760896808.834667, "env_id": "Hopper-v5"}
r,l,t
199.372748,109,4.100287
114.515602,65,4.117434
179.418042,113,4.146802
236.560518,127,4.178316
236.85288,123,4.208653
137.147695,79,4.228091
150.933836,78,4.24764
126.320759,72,4.264635
103.617694,58,4.277861
187.190093,89,4.298657
66.133988,41,4.308408
92.924406,63,4.323164
92.573423,61,4.337496
227.59237,99,4.360353
142.031538,86,4.380591
75.970601,45,4.391263
75.278711,46,4.402426
60.261783,40,4.412124
74.967233,53,4.424326
174.770693,107,4.449408
59.965917,56,4.462834
90.927106,56,4.476321
136.273677,72,4.492997
39.14174,30,4.500009
75.705403,46,4.510875
248.015022,124,4.539398
227.976534,110,4.923645
47.612047,35,4.931911
71.959768,48,4.942687
120.845011,67,4.958157
115.191972,69,4.974065
130.452073,76,4.991584
118.185991,67,5.007263
68.134181,42,5.017167
168.675348,85,5.036671
25.723916,24,5.042165
80.596074,48,5.053299
220.92052,98,5.07604
160.470755,97,5.098557
80.285417,46,5.109225
251.988584,107,5.13406
253.457868,124,5.162389
184.767029,88,5.182568
192.313241,101,5.205844
136.463266,71,5.222228
95.399004,69,5.238264
206.855513,96,5.260278
129.026101,80,5.278773
130.374478,79,5.297076
89.075826,64,5.312035
66.579477,45,5.322675
222.927843,101,5.345628
87.281455,60,5.359499
223.811498,110,5.829184
140.824755,75,5.847548
120.590797,66,5.863462
78.85635,53,5.877271
180.470972,87,5.899307
156.149409,75,5.919615
256.02101,119,5.950704
231.32547,104,5.976414
29.697706,26,5.982568
53.663605,33,5.990973
150.873997,77,6.009165
137.528804,73,6.026195
97.857561,63,6.044018
223.868921,113,6.07065
168.521504,84,6.092872
84.689913,50,6.105125
66.315732,40,6.115091
231.755578,110,6.142001
140.799013,87,6.163615
150.196042,77,6.182194
216.499337,110,6.207252
101.673736,56,6.220043
112.063961,66,6.2354
216.142735,99,6.258497
93.099725,64,6.274124
230.373905,116,6.300924
198.492798,98,6.859438
217.412821,104,6.888681
247.245508,109,6.91448
215.909899,104,6.939217
230.059059,108,6.964357
218.652333,100,6.987678
165.140451,87,7.008059
251.006433,126,7.038435
155.629078,75,7.056253
206.358355,93,7.078795
257.630986,119,7.1072
250.176506,122,7.136479
150.027438,76,7.15481
69.037411,42,7.16458
90.839411,54,7.177336
130.365741,82,7.196735
223.999839,103,7.221397
136.417722,72,7.238524
252.277413,132,7.269894
121.861166,66,7.285629
227.01509,102,7.309283
149.698009,84,7.328081
234.58159,111,7.795419
166.488122,83,7.8151
276.739024,133,7.84689
159.882441,82,7.866229
159.339293,88,7.88677
256.330579,127,7.91628
253.321148,127,7.945798
227.77474,105,7.970359
251.382493,114,7.997257
229.968233,103,8.021471
226.268332,102,8.045526
267.171658,137,8.080544
275.647426,125,8.111234
230.154471,109,8.137311
262.500769,114,8.163829
234.547761,106,8.188736
219.534999,107,8.213913
213.4328,94,8.236802
188.967825,95,8.259413
95.205831,57,8.721781
235.374088,109,8.74855
239.626365,114,8.775493
224.694816,106,8.800246
225.129177,102,8.824049
243.730292,118,8.851433
264.281341,118,8.878307
262.914521,114,8.904693
242.124212,118,8.931683
334.971753,151,8.966189
249.156781,115,8.992413
258.814805,119,9.019637
234.045099,105,9.04378
227.282926,107,9.068259
88.846379,51,9.080065
252.109871,121,9.107819
224.412762,101,9.131408
243.569268,116,9.158023
230.720181,104,9.182295
250.509434,126,9.595391
260.693135,119,9.625847
242.816039,111,9.651534
208.049329,94,9.673379
232.475314,105,9.698068
242.059032,112,9.724371
238.839863,115,9.750943
78.092305,47,9.761659
252.699389,110,9.787186
205.797121,92,9.80852
255.787532,123,9.837441
240.236139,111,9.862774
250.16145,113,9.888875
238.95546,112,9.91488
234.792821,105,9.939286
241.611711,112,9.96531
83.623047,50,9.977
245.107286,114,10.003407
243.660134,107,10.027979
251.316869,126,10.587366
234.910664,115,10.618098
264.439326,120,10.646141
255.075788,109,10.671128
263.900987,122,10.69933
236.831496,104,10.723691
230.16271,102,10.747988
239.194788,103,10.773008
223.765201,98,10.796933
239.353188,118,10.825161
76.695151,45,10.835976
251.173233,113,10.862579
279.430812,118,10.889764
249.166519,112,10.915928
209.402086,99,10.939033
235.735315,109,10.965204
186.776704,99,10.988526
225.902276,105,11.013263
217.108504,100,11.036244
277.970873,130,11.066445
232.754755,103,11.804465
284.071673,121,11.833612
235.52342,115,11.86119
245.866735,121,11.88976
256.628475,129,11.920085
251.137194,115,11.94718
161.433537,81,11.966257
254.105832,117,11.993391
255.854063,127,12.023339
239.369127,114,12.050451
248.925676,113,12.077251
277.893605,126,12.107332
273.271701,141,12.142217
266.532623,116,12.169658
259.053799,132,12.200741
263.278169,122,12.229421
187.314252,94,12.253287
87.018613,54,12.266283
98.908685,57,12.995358
327.461306,149,13.037951
291.606311,135,13.085734
312.214541,138,13.119243
254.281847,114,13.146838
300.280146,126,13.176993
250.900174,113,13.204159
369.631948,148,13.238634
239.557816,106,13.26392
311.429669,132,13.294524
132.404633,76,13.311827
214.645979,108,13.336192
248.185501,112,13.361742
289.733334,118,13.388526
240.741273,117,13.415223
303.90649,126,13.444226
264.34421,134,13.475448
324.954332,136,14.06346
109.402032,61,14.078275
268.398912,117,14.105857
311.733761,136,14.138118
275.120193,122,14.167421
234.858081,110,14.193046
299.716641,136,14.224698
261.928763,118,14.252197
