#{"t_start": 1760907604.3554823, "env_id": "Humanoid-v5"}
r,l,t
439.889065,82,16.369384
540.492585,99,16.412516
395.896015,77,16.446708
310.155686,59,16.473539
464.011265,86,16.513025
688.742076,133,16.572392
472.535545,86,16.609684
474.360343,97,16.652225
385.08656,72,16.682764
661.568236,127,16.737954
366.951475,69,16.7662
353.591548,70,16.796363
330.674738,64,16.824042
439.68351,83,16.861161
500.688011,103,17.421786
349.627543,65,17.450058
335.523456,70,17.480902
543.079678,104,17.526648
354.318806,67,17.556016
496.418568,94,17.59848
398.77684,75,17.630693
384.293949,69,17.660933
308.775657,73,17.693249
510.931296,97,17.736202
363.692255,69,17.765741
551.985411,102,17.812159
516.907724,96,17.855648
371.007333,75,17.890582
686.942854,128,17.949827
461.538737,94,17.991284
640.499292,121,18.044561
394.339933,75,18.080423
594.703783,114,18.12968
375.023202,72,18.160238
408.886424,86,18.198561
352.169716,66,18.228441
312.331472,66,18.257922
584.310783,111,18.941045
364.584525,68,18.970379
308.107207,62,18.996348
486.647532,100,19.041313
455.254797,88,19.07976
338.760775,65,19.106621
266.868229,57,19.129537
654.988458,130,19.188273
546.804667,102,19.232473
467.817122,89,19.270276
459.141132,87,19.307421
573.198947,111,19.356413
408.196995,77,19.389573
435.89722,80,19.423614
405.822207,75,19.456017
423.144996,79,19.490517
545.554067,107,19.536422
432.076727,81,19.57172
397.309732,74,19.603894
357.370894,68,19.632729
284.679475,53,19.654409
531.682198,100,19.696747
590.896061,116,19.748032
576.290699,108,19.795472
526.361196,104,20.291939
574.85912,113,20.341868
572.116409,125,20.397654
345.726079,66,20.427515
307.630369,69,20.457657
823.134009,154,20.528548
509.794913,95,20.570577
348.059078,66,20.599298
471.845729,90,20.637398
304.486704,59,20.662221
651.58679,120,20.715033
427.588269,86,20.751939
667.767378,130,20.807134
297.298506,67,20.83397
297.755552,60,20.859795
392.402883,75,20.890682
525.524897,98,20.933587
347.498225,71,20.962313
780.798692,151,21.029296
394.55764,73,21.061203
628.756944,122,21.118252
450.268604,84,21.155509
368.016814,84,21.666998
549.81814,103,21.711705
396.661688,76,21.745604
598.171379,110,21.794106
586.907954,113,21.843754
617.125434,122,21.8992
309.877304,68,21.926858
727.060201,139,21.988708
392.71799,74,22.021275
439.742395,82,22.057534
501.386103,92,22.097572
761.076764,151,22.164018
508.154772,94,22.204402
428.647811,84,22.24757
417.412005,76,22.281165
274.087319,61,22.307319
442.620632,82,22.343837
512.671214,111,22.39365
297.266651,65,22.422513
386.478536,73,22.455453
450.680346,89,22.494913
398.758533,76,22.529483
454.795477,86,23.448557
757.181084,140,23.521923
523.971572,97,23.565601
463.392083,88,23.604439
449.773214,82,23.640189
529.566273,111,23.690134
482.491356,91,23.731374
370.961115,69,23.760232
428.936064,84,23.796267
364.07397,76,23.830319
483.78958,91,23.869486
432.214387,80,23.902085
404.49875,84,23.939185
300.262099,59,23.964329
625.775502,130,24.026719
305.740516,66,24.053146
468.082832,90,24.092265
338.887911,75,24.1258
369.346561,82,24.162198
461.958682,86,24.201436
594.488715,113,24.251605
613.714865,116,24.303882
489.32129,99,24.794485
562.823973,106,24.839579
392.512121,81,24.873713
463.546115,94,24.914053
405.689497,78,24.94786
417.596722,77,24.980669
435.548322,90,25.020293
413.976643,75,25.051988
513.324721,100,25.095386
353.453269,75,25.127017
471.666155,87,25.163742
521.384915,112,25.211739
423.962371,85,25.248849
458.768675,86,25.285137
513.198558,104,25.330472
643.160713,141,25.395048
407.341488,76,25.429952
301.79505,57,25.455517
488.773604,98,25.499279
451.019758,85,25.537409
408.9341,85,25.575897
484.651167,90,25.61525
392.632674,75,25.648283
389.775739,75,25.681073
567.366968,118,26.376144
775.615896,149,26.442054
368.494605,70,26.471386
424.163937,80,26.506929
454.137027,87,26.544467
409.488913,77,26.577207
371.461765,68,26.606532
536.123542,101,26.649534
299.673621,60,26.680279
552.780774,114,26.731335
374.862753,69,26.760644
443.165559,89,26.798774
428.220295,80,26.834452
508.469664,95,26.875958
318.859698,75,26.907344
514.240929,104,26.952252
458.102134,95,26.991977
552.499924,104,27.03657
474.978214,95,27.076597
525.704365,99,27.119004
387.920189,82,27.153532
506.203324,95,27.195313
509.059651,94,27.702253
339.183206,69,27.733335
667.153447,127,27.789584
390.157259,80,27.824503
547.167511,102,27.868165
334.556709,64,27.896157
327.212658,62,27.923949
386.365402,74,27.956686
402.213068,75,27.990771
381.824956,84,28.027967
455.391722,88,28.06623
438.700332,82,28.105572
531.444576,107,28.154329
402.223932,75,28.187214
334.482412,63,28.21516
357.348846,71,28.245998
518.289698,104,28.292013
703.440117,137,28.35247
446.414093,85,28.388494
302.211049,59,28.414313
405.43452,81,28.450109
440.199783,86,28.487683
418.497214,78,28.520431
408.649057,88,28.558875
391.180965,76,29.111632
466.182124,100,29.158067
353.569446,76,29.203574
314.882625,60,29.230459
443.177513,82,29.265509
734.948139,151,29.332997
435.590958,82,29.368566
563.473804,102,29.413223
589.380091,111,29.461291
787.009412,158,29.533911
331.013967,64,29.56268
511.654157,99,29.608267
484.521744,99,29.651355
330.373231,69,29.682058
394.501553,74,29.714557
331.054007,71,29.74546
591.642888,118,29.797365
303.218406,59,29.823033
598.437818,118,29.877373
331.678944,64,29.906328
488.016339,87,29.94429
568.3012,107,29.992705
543.845606,100,30.679482
412.260375,78,30.714347
306.256795,63,30.754239
330.915798,64,30.783128
630.55945,121,30.836423
460.725805,84,30.873421
579.480382,112,30.924887
376.989641,72,30.956764
743.208957,162,31.032079
534.004472,104,31.078875
373.020465,76,31.113085
320.891693,66,31.142882
391.840734,87,31.182364
593.221482,123,31.239494
427.882273,83,31.275586
462.577334,95,31.318362
396.681857,75,31.350468
353.18113,68,31.380733
504.653534,103,31.425493
459.175938,87,31.464068
554.127438,101,31.508021
364.210558,71,31.539137
398.279194,76,31.572934
808.921149,162,32.145334
481.58031,98,32.190019
333.441994,65,32.224052
418.455406,79,32.264207
292.837272,63,32.293461
373.625703,71,32.325895
376.531632,73,32.359017
411.26662,76,32.391564
833.608981,166,32.46823
367.470769,72,32.498429
746.229528,166,32.572752
448.533499,85,32.607538
251.084625,58,32.631027
305.195239,67,32.659326
559.966223,105,32.705532
488.887435,91,32.74495
369.376044,71,32.776258
385.770493,77,32.809971
720.332352,160,32.881202
669.468969,124,32.935186
312.449643,69,32.964828
482.574475,92,33.004938
608.532245,113,33.508635
721.181777,138,33.570889
541.86248,107,33.62349
340.927097,64,33.654994
376.486735,70,33.700359
403.251251,92,33.741789
299.150345,67,33.773414
437.708147,84,33.811208
446.470417,80,33.845687
533.791644,100,33.890281
430.957823,88,33.928243
441.483173,85,33.96453
