#{"t_start": 1760901452.9797812, "env_id": "HalfCheetah-v5"}
r,l,t
1622.528264,1000,1.216345
1564.222406,1000,2.032212
1588.872896,1000,6.020122
1583.44747,1000,6.787344
1570.226256,1000,10.987089
1485.87764,1000,11.842692
1606.313404,1000,15.900546
1629.089717,1000,16.694589
1599.217228,1000,22.111206
1565.189997,1000,23.092217
1542.460759,1000,29.70026
1604.362467,1000,30.567621
1617.310203,1000,38.532236
1605.656896,1000,39.458072
1624.604,1000,44.492081
1587.629596,1000,45.279208
1594.020612,1000,48.897649
1578.958795,1000,49.722698
1621.179139,1000,54.028968
1579.004848,1000,54.794556
1585.303197,1000,58.571847
1384.480403,1000,59.305632
1574.196846,1000,62.941192
1619.095432,1000,63.699231
1548.340353,1000,67.439454
1412.120607,1000,68.156662
1583.67331,1000,72.017772
1614.534489,1000,72.781353
1593.334423,1000,76.886543
1602.863347,1000,77.637324
1606.747009,1000,82.97619
1558.293721,1000,83.79984
1577.728477,1000,89.159958
1626.489717,1000,90.014587
1567.107187,1000,94.197578
1606.331628,1000,95.036286
1592.540324,1000,99.243418
1597.23515,1000,100.062743
1611.566039,1000,103.913515
1608.192393,1000,104.719847
1605.961624,1000,108.424904
1612.9226,1000,109.184593
1638.406014,1000,109.954437
1589.512654,1000,114.310882
1616.213299,1000,115.175989
1602.982397,1000,119.78141
1630.571527,1000,120.544632
1599.398881,1000,124.936938
1619.631356,1000,125.699788
1560.128425,1000,129.342535
1554.976311,1000,130.175282
1603.008615,1000,133.877181
1591.663866,1000,134.667051
1551.968269,1000,138.388784
1626.767203,1000,139.161802
1637.218971,1000,143.400972
1658.038123,1000,144.192179
1592.030923,1000,148.813649
1589.303854,1000,149.619947
1578.514076,1000,153.913481
1606.29861,1000,154.715454
1630.912604,1000,158.235549
1603.471498,1000,159.019293
1605.595669,1000,162.791162
1609.064345,1000,163.541933
1605.775288,1000,168.14431
1578.299605,1000,168.979467
1592.564112,1000,173.599659
1629.563478,1000,174.368829
1556.020671,1000,178.948152
1465.782849,1000,179.73303
1590.916528,1000,184.421229
1558.480414,1000,185.203109
1601.878591,1000,189.224917
1585.727937,1000,190.012891
1607.669578,1000,194.710875
1588.847281,1000,195.600563
1616.354881,1000,199.839687
1581.371745,1000,200.637759
1643.180986,1000,205.232338
1623.407027,1000,205.976596
1594.525907,1000,212.4006
1618.361687,1000,213.184579
1634.979485,1000,216.796632
1647.108504,1000,217.583182
1565.567772,1000,218.362743
1599.032164,1000,223.059402
1545.808674,1000,223.797672
1616.572353,1000,227.881567
1618.359356,1000,228.629088
1609.00719,1000,232.485101
1632.80649,1000,233.276402
1380.02036,1000,236.851688
1633.778403,1000,237.713082
1622.460268,1000,241.510022
1626.867575,1000,242.30648
1604.869214,1000,245.912939
1636.899462,1000,246.721243
1605.82454,1000,250.256565
1608.392161,1000,251.051892
1638.337706,1000,256.113923
1536.82597,1000,256.992873
1549.166207,1000,263.404641
1657.180391,1000,264.280608
1668.963311,1000,271.595966
1568.278194,1000,272.479476
1631.623794,1000,279.407835
1647.228051,1000,280.20764
1623.693197,1000,284.406688
1632.623207,1000,285.198655
1632.386137,1000,288.779775
1631.106037,1000,289.56785
1193.320385,1000,294.373344
1581.580116,1000,295.093056
1630.756548,1000,298.808137
1630.802101,1000,299.56214
1597.765663,1000,303.998517
1529.687382,1000,304.762543
1661.580351,1000,308.898943
1606.818992,1000,309.675191
1610.145066,1000,313.628284
1642.062414,1000,314.425925
1531.282473,1000,318.804139
1656.733452,1000,319.576559
1435.521629,1000,323.144458
1640.822648,1000,323.969879
1618.529316,1000,327.92578
1560.525106,1000,328.651374
1656.10391,1000,329.418912
1591.203614,1000,332.981233
1661.47377,1000,333.764748
1653.174912,1000,337.326724
1622.820241,1000,338.133336
1631.383917,1000,341.750792
