#{"t_start": 1760901452.8192792, "env_id": "HalfCheetah-v5"}
r,l,t
1606.486392,1000,1.376898
1550.89605,1000,2.192465
1578.393447,1000,6.180603
1579.483825,1000,6.947859
1607.255661,1000,11.147267
1590.785577,1000,12.003569
1638.919633,1000,16.060998
1548.519944,1000,16.855152
1597.564238,1000,22.271828
1590.032221,1000,23.253051
1611.338675,1000,29.860419
1583.46054,1000,30.728047
1587.314738,1000,38.692552
1556.88446,1000,39.61877
1563.552116,1000,44.652633
1584.465391,1000,45.439505
1481.052003,1000,49.058539
1605.649309,1000,49.882936
1630.240095,1000,54.189462
1548.692844,1000,54.955075
1598.057846,1000,58.732706
1590.151704,1000,59.465865
1543.092263,1000,63.102047
1666.724991,1000,63.85953
1588.652113,1000,67.599963
1537.722526,1000,68.317415
1551.158049,1000,72.178315
1570.467364,1000,72.941164
1615.09451,1000,77.046489
1613.780422,1000,77.798203
1620.227549,1000,83.136429
1554.259671,1000,83.960566
1652.531673,1000,89.320408
1623.077657,1000,90.175626
1594.894239,1000,94.358509
1618.55265,1000,95.196986
1614.953167,1000,99.403957
1656.78302,1000,100.223393
1518.683955,1000,104.07446
1609.579673,1000,104.880629
1572.388084,1000,108.585408
1503.656595,1000,109.344837
1588.753691,1000,110.115326
1597.719108,1000,114.471458
1528.032944,1000,115.336875
1543.880616,1000,119.942252
1613.988546,1000,120.705181
1679.775043,1000,125.097732
1661.094798,1000,125.86068
1566.92293,1000,129.5032
1589.418085,1000,130.335457
1584.417564,1000,134.038059
1616.361274,1000,134.827605
1622.784555,1000,138.549288
1593.822113,1000,139.321946
1626.752494,1000,143.561587
1579.492186,1000,144.352499
1629.541836,1000,148.974158
1598.531878,1000,149.78071
1597.011672,1000,154.074005
1589.850776,1000,154.876316
1601.046316,1000,158.396359
1566.048785,1000,159.179791
1598.207138,1000,162.952039
1602.699003,1000,163.702787
1575.180905,1000,168.304208
1544.371068,1000,169.139621
1558.527379,1000,173.760153
1584.241777,1000,174.529341
1609.372271,1000,179.108911
1613.602975,1000,179.893193
1613.594421,1000,184.582291
1526.100194,1000,185.364009
1635.938421,1000,189.385658
1566.531149,1000,190.173358
1614.543203,1000,194.87108
1597.610809,1000,195.761416
1624.062273,1000,199.999835
1540.238823,1000,200.798422
1573.119867,1000,205.39315
1582.5148,1000,206.136747
1573.785658,1000,212.561172
1619.457884,1000,213.344992
1569.672451,1000,216.957321
1626.271662,1000,217.743428
1521.115344,1000,218.523732
1590.742531,1000,223.220049
1608.411653,1000,223.958569
1679.672372,1000,228.042333
1677.864415,1000,228.789214
1618.788931,1000,232.645676
1616.871416,1000,233.4369
1550.50264,1000,237.012255
1617.443234,1000,237.873582
1648.683305,1000,241.670581
1646.285848,1000,242.466765
1631.24793,1000,246.073453
1565.598275,1000,246.882042
1577.654651,1000,250.417012
1592.048144,1000,251.212674
1585.807198,1000,256.27429
1556.891725,1000,257.153729
1595.324248,1000,263.565212
1615.236292,1000,264.441214
1578.732711,1000,271.756484
1564.820798,1000,272.639751
1654.0153,1000,279.568455
1617.637663,1000,280.368153
1506.544963,1000,284.567235
1553.239701,1000,285.35916
1666.506917,1000,288.94006
1633.863827,1000,289.72841
1628.329816,1000,294.534213
1583.366725,1000,295.253931
1648.734038,1000,298.968678
1598.865609,1000,299.722652
1656.108353,1000,304.159055
1610.431494,1000,304.923154
1655.993433,1000,309.059487
1610.893132,1000,309.836006
1590.023199,1000,313.788514
1647.27116,1000,314.58649
1614.201831,1000,318.9649
1668.290209,1000,319.737462
1627.627386,1000,323.30529
1657.835985,1000,324.130711
1620.111923,1000,328.086561
1650.927241,1000,328.812123
1676.889362,1000,329.579512
1654.784502,1000,333.141407
1655.287389,1000,333.924676
1650.243543,1000,337.487601
1635.937947,1000,338.294617
1619.84668,1000,341.911653
1638.112955,1000,342.688883
1598.066643,1000,347.676988
1590.409427,1000,348.444444
1659.400387,1000,352.014651
1687.850903,1000,352.790515
1661.527185,1000,356.384747
1621.760306,1000,357.181048
1675.581612,1000,361.520476
1626.563043,1000,362.332007
1638.977358,1000,365.86804
1592.415244,1000,366.630953
1670.408307,1000,370.523624
1669.579151,1000,371.29378
1662.436323,1000,374.868201
1604.49777,1000,375.662905
1632.088315,1000,379.589747
1624.077199,1000,380.387027
1599.492591,1000,384.009973
1654.005495,1000,384.83422
1595.655235,1000,388.391894
1646.170893,1000,389.191036
1608.085763,1000,392.770139
1638.449602,1000,393.535427
1637.789978,1000,399.173288
1644.565882,1000,400.109165
1610.664628,1000,405.533092
1603.969676,1000,406.377957
1649.170945,1000,412.698314
1642.959999,1000,413.581955
1386.815404,1000,417.497286
1640.225326,1000,418.333197
1660.249059,1000,423.866811
1591.14568,1000,424.68408
