#{"t_start": 1760901452.8547873, "env_id": "HalfCheetah-v5"}
r,l,t
1593.625296,1000,1.341362
1569.308098,1000,2.156959
1569.959105,1000,6.144727
1412.531959,1000,6.912699
1558.866893,1000,11.111702
1522.780172,1000,11.967919
1609.246297,1000,16.025515
1425.925234,1000,16.819898
1579.61699,1000,22.235935
1622.811777,1000,23.217085
1578.192878,1000,29.825277
1621.507259,1000,30.6923
1587.049919,1000,38.657033
1632.169886,1000,39.583119
1586.282352,1000,44.617305
1625.077821,1000,45.403991
1666.198716,1000,49.022659
1582.806755,1000,49.847442
1611.710696,1000,54.15361
1555.840521,1000,54.919198
1552.562394,1000,58.696854
1567.668207,1000,59.430692
1610.797277,1000,63.066213
1612.637044,1000,63.824019
1590.371885,1000,67.564855
1619.150144,1000,68.281686
1620.181135,1000,72.142789
1526.726082,1000,72.905643
1507.761282,1000,77.011209
1569.73325,1000,77.762586
1588.416933,1000,83.101202
1606.649317,1000,83.924917
1601.229207,1000,89.284599
1571.748545,1000,90.139603
1516.989899,1000,94.322798
1505.830304,1000,95.161678
1586.101434,1000,99.368888
1620.515164,1000,100.187913
1583.610712,1000,104.038527
1606.36353,1000,104.844885
1615.027941,1000,108.549685
1614.140399,1000,109.309623
1621.304028,1000,110.079452
1605.604054,1000,114.435533
1571.089494,1000,115.301001
1564.376103,1000,119.906449
1620.420197,1000,120.669867
1230.878171,1000,125.062328
1599.644241,1000,125.825074
1643.039505,1000,129.467653
1588.929359,1000,130.299919
1619.279508,1000,134.002169
1569.477758,1000,134.792342
1580.195328,1000,138.513999
1668.629162,1000,139.286419
1637.642741,1000,143.526355
1622.368314,1000,144.316825
1625.966339,1000,148.93868
1599.088012,1000,149.745117
1481.293652,1000,154.038504
1568.869449,1000,154.840505
1422.64147,1000,158.360498
1595.910038,1000,159.144323
1644.393044,1000,162.916528
1554.545359,1000,163.666933
1599.383263,1000,168.268671
1486.577401,1000,169.10413
1536.992061,1000,173.724998
1623.677979,1000,174.494218
1629.981969,1000,179.073162
1627.804854,1000,179.857683
1581.740738,1000,184.546216
1576.382172,1000,185.328491
1578.141546,1000,189.349946
1627.229612,1000,190.137544
1571.978364,1000,194.835523
1638.193902,1000,195.72556
1668.951496,1000,199.964685
1568.587283,1000,200.762686
1588.897545,1000,205.357338
1646.840058,1000,206.101242
1474.571962,1000,212.525747
1585.127478,1000,213.309453
1584.289369,1000,216.921574
1621.820476,1000,217.708229
1650.76687,1000,218.487988
1582.370864,1000,223.184421
1624.704922,1000,223.922689
1474.789716,1000,228.006919
1612.894742,1000,228.75372
1570.766416,1000,232.609938
1624.391795,1000,233.401405
1567.956036,1000,236.977179
1644.400148,1000,237.838049
1670.451436,1000,241.635132
1603.613112,1000,242.431255
1561.485682,1000,246.03817
1614.288617,1000,246.84652
1620.826395,1000,250.381498
1612.175361,1000,251.177247
1613.847232,1000,256.238014
1581.413853,1000,257.117851
1607.302702,1000,263.529435
1576.289832,1000,264.405987
1632.207668,1000,271.72133
1607.37104,1000,272.604277
1611.387193,1000,279.532639
1634.986599,1000,280.332931
1641.406727,1000,284.531938
1611.74408,1000,285.324005
1640.626192,1000,288.904538
1618.79403,1000,289.693202
1633.448337,1000,294.498374
1526.065714,1000,295.21842
1629.834266,1000,298.933517
1635.460658,1000,299.687482
1632.726055,1000,304.124138
1670.163166,1000,304.887568
1605.929074,1000,309.024297
1644.885478,1000,309.800237
1585.005754,1000,313.75296
1470.441617,1000,314.550945
1637.02312,1000,318.929164
1684.977573,1000,319.701945
1453.709789,1000,323.26963
1601.152411,1000,324.095071
1622.01001,1000,328.051145
1639.006769,1000,328.77705
1626.068475,1000,329.543671
1655.388176,1000,333.106161
1618.453911,1000,333.889132
1663.393209,1000,337.451722
1628.667159,1000,338.258712
1627.420182,1000,341.876111
1616.375701,1000,342.653642
1629.034067,1000,347.641452
1685.191805,1000,348.408665
1625.953034,1000,351.97879
1582.713172,1000,352.755013
1644.940824,1000,356.349479
1657.951988,1000,357.145457
1682.536438,1000,361.484887
1627.073064,1000,362.296741
1582.601171,1000,365.832821
1578.596694,1000,366.595761
1577.014483,1000,370.488168
1619.899002,1000,371.258025
1643.898382,1000,374.832403
1646.754115,1000,375.627697
1606.379021,1000,379.554282
1650.688917,1000,380.351569
1633.748493,1000,383.974458
1670.552217,1000,384.798024
1676.574634,1000,388.356609
1666.839713,1000,389.155352
1613.544011,1000,392.734969
1651.476811,1000,393.499562
1681.280024,1000,399.137939
1635.311193,1000,400.073758
1668.370568,1000,405.497555
1664.023295,1000,406.342223
1676.726165,1000,412.662845
1644.454419,1000,413.546746
1620.620932,1000,417.461417
1679.780209,1000,418.297501
1648.38528,1000,423.831002
1663.667425,1000,424.648549
1602.265489,1000,430.228098
1652.427412,1000,431.075159
1657.272992,1000,436.222125
1658.335315,1000,437.005979
1633.659898,1000,437.813598
1660.063939,1000,442.793334
1560.885604,1000,443.593395
1660.802955,1000,449.67881
1609.245491,1000,450.471778
1651.488066,1000,456.684145
1675.341982,1000,457.601427
1636.225338,1000,463.128226
1673.343796,1000,463.864785
1647.523582,1000,468.499233
1641.477167,1000,469.343287
1614.033379,1000,473.925701
1701.14216,1000,474.727963
1660.758543,1000,478.92689
1614.926114,1000,479.760904
1624.290793,1000,484.777097
1639.143143,1000,485.721293
1677.484525,1000,490.833126
1634.114879,1000,491.586498
1622.177903,1000,495.225233
1673.015985,1000,495.995772
1652.372582,1000,499.701807
1650.79366,1000,500.478625
1664.306492,1000,504.691059
1672.03205,1000,505.496924
1637.104925,1000,509.215506
1651.250067,1000,510.044309
1660.887067,1000,514.28507
1700.555732,1000,515.169456
1595.635137,1000,519.667817
1639.181919,1000,520.42155
1623.354927,1000,524.026275
1622.466279,1000,524.864681
1656.471108,1000,528.523288
1643.526865,1000,529.320841
1670.154245,1000,533.12074
1609.62685,1000,533.88313
1677.083167,1000,537.479928
1652.163175,1000,538.268741
1628.866238,1000,541.988471
1680.795801,1000,542.788602
