#{"t_start": 1760901452.808793, "env_id": "HalfCheetah-v5"}
r,l,t
1342.88382,1000,1.387679
1591.501881,1000,2.202926
1577.816428,1000,6.190675
1646.235155,1000,6.958693
1567.910165,1000,11.157671
1575.275201,1000,12.013672
1554.249242,1000,16.071161
1622.344991,1000,16.865644
1571.231276,1000,22.281816
1606.971246,1000,23.262721
1564.375845,1000,29.870831
1563.298348,1000,30.738263
1545.162157,1000,38.702993
1555.482185,1000,39.628789
1535.859459,1000,44.663034
1609.385357,1000,45.449946
1531.16436,1000,49.068627
1590.32916,1000,49.893144
1608.200355,1000,54.199572
1552.340728,1000,54.965923
1539.825222,1000,58.742822
1590.790588,1000,59.476307
1590.47902,1000,63.112179
1508.545992,1000,63.869966
1184.321803,1000,67.610425
1581.559445,1000,68.327629
1595.031824,1000,72.188734
1621.382518,1000,72.951622
1636.692696,1000,77.057
1633.009467,1000,77.80866
1616.646546,1000,83.146909
1637.72205,1000,83.970828
1603.367609,1000,89.330573
1611.164529,1000,90.185546
1619.048178,1000,94.368935
1575.363251,1000,95.207221
1657.574927,1000,99.414365
1341.227706,1000,100.233749
1576.813539,1000,104.084454
1578.028007,1000,104.890823
1591.344292,1000,108.595707
1644.026097,1000,109.35527
1597.487802,1000,110.1254
1590.508972,1000,114.481485
1584.154002,1000,115.347333
1625.354492,1000,119.952429
1536.025931,1000,120.715596
1499.809051,1000,125.10796
1568.830716,1000,125.870982
1490.812,1000,129.513254
1615.383051,1000,130.345928
1642.04517,1000,134.048149
1631.081355,1000,134.838063
1558.563924,1000,138.560092
1623.673447,1000,139.332421
1597.121556,1000,143.57189
1592.233304,1000,144.363373
1603.079507,1000,148.98463
1614.836374,1000,149.790941
1617.352755,1000,154.084465
1619.190313,1000,154.886433
1578.973937,1000,158.406052
1572.200305,1000,159.190252
1539.968149,1000,162.962135
1649.689524,1000,163.712921
1528.656196,1000,168.314595
1590.954489,1000,169.150068
1593.786191,1000,173.770625
1645.913431,1000,174.539808
1607.987005,1000,179.119123
1659.434088,1000,179.903654
1609.539108,1000,184.592197
1595.308315,1000,185.374099
1585.971563,1000,189.39597
1511.311866,1000,190.183454
1641.263485,1000,194.881472
1549.995819,1000,195.771512
1599.225961,1000,200.010296
1609.753391,1000,200.808399
1524.308345,1000,205.403306
1587.473341,1000,206.147182
1567.310882,1000,212.571334
1630.589886,1000,213.355024
1590.200336,1000,216.96722
1604.922545,1000,217.753875
1527.957166,1000,218.533684
1586.976977,1000,223.230026
1599.673407,1000,223.968815
1618.517172,1000,228.052554
1661.304939,1000,228.799664
1589.333933,1000,232.655915
1609.203472,1000,233.447356
1591.852279,1000,237.022396
1610.642261,1000,237.883999
1594.480384,1000,241.680798
1628.645624,1000,242.477212
1608.15744,1000,246.083905
1664.842023,1000,246.892206
1628.001366,1000,250.427211
1603.653857,1000,251.222895
1648.846642,1000,256.283994
1632.952783,1000,257.163836
1602.851436,1000,263.575412
1560.011424,1000,264.451477
1666.176755,1000,271.767709
1596.381103,1000,272.650181
1579.755613,1000,279.578571
1582.209881,1000,280.378628
1606.790244,1000,284.577328
1600.120472,1000,285.369878
1657.02891,1000,288.950518
1590.403248,1000,289.738831
1649.29551,1000,294.544322
1615.464054,1000,295.264022
1649.148882,1000,298.979111
1606.684524,1000,299.733106
1611.322333,1000,304.169498
1295.442152,1000,304.933245
1410.942967,1000,309.069928
1639.508046,1000,309.84617
1618.594749,1000,313.79887
1580.704002,1000,314.596896
1656.835955,1000,318.975085
1652.801698,1000,319.74754
1702.181707,1000,323.315399
1653.810316,1000,324.140826
1645.741706,1000,328.096779
1689.254775,1000,328.822712
1671.080748,1000,329.589643
1625.469904,1000,333.151587
1660.460687,1000,333.935127
1651.467203,1000,337.497683
1622.252752,1000,338.304282
1625.14453,1000,341.921724
1582.874649,1000,342.699342
1642.667767,1000,347.687438
1617.595674,1000,348.454369
1667.922854,1000,352.024737
1675.360148,1000,352.801223
1602.121022,1000,356.394919
1634.004822,1000,357.191159
1645.000204,1000,361.530627
1656.827283,1000,362.34223
1674.657398,1000,365.878452
1608.609081,1000,366.641384
1636.23623,1000,370.533855
1668.924071,1000,371.30397
1679.789715,1000,374.87872
1603.468446,1000,375.673349
1650.512537,1000,379.59991
1664.940773,1000,380.397251
1638.867819,1000,384.020421
1619.226645,1000,384.844008
1639.342554,1000,388.402334
1608.583245,1000,389.201328
1636.241794,1000,392.780941
1621.4652,1000,393.545498
1683.27261,1000,399.183542
1598.762823,1000,400.119374
1620.262986,1000,405.543342
1619.818026,1000,406.388157
1650.042022,1000,412.708398
1636.919054,1000,413.592721
1645.487419,1000,417.507745
1584.736923,1000,418.343182
1614.039736,1000,423.876898
1588.191389,1000,424.694169
1619.055485,1000,430.27412
1611.747081,1000,431.121929
1637.398933,1000,436.26851
1617.277677,1000,437.051898
1626.102051,1000,437.859214
1661.721526,1000,442.838823
1599.580489,1000,443.639351
1635.869779,1000,449.724758
1663.756566,1000,450.517777
1607.304058,1000,456.729882
1645.21531,1000,457.647402
1634.544987,1000,463.174497
1636.013033,1000,463.910495
1618.204798,1000,468.544903
1633.086671,1000,469.388821
1570.265827,1000,473.971646
1659.641052,1000,474.773684
1640.562158,1000,478.972823
1568.03509,1000,479.806443
1662.612197,1000,484.822918
1631.470962,1000,485.766898
1640.272049,1000,490.878892
1583.200977,1000,491.632127
1596.87574,1000,495.27123
1624.976933,1000,496.041178
1622.650423,1000,499.747791
1611.520131,1000,500.524585
1625.107408,1000,504.736954
1613.245853,1000,505.543224
1613.685837,1000,509.261213
1649.111864,1000,510.089906
1669.354466,1000,514.331127
1432.83684,1000,515.2154
1652.068399,1000,519.71389
1580.292943,1000,520.467255
1634.915129,1000,524.07222
1630.218532,1000,524.910666
1681.320834,1000,528.569246
1659.380929,1000,529.366528
1659.100535,1000,533.166306
1635.804479,1000,533.928729
1637.613884,1000,537.52563
1659.81667,1000,538.314701
1627.659261,1000,542.034121
1679.521281,1000,542.834908
1649.610817,1000,546.424877
1692.118103,1000,547.181402
1616.133899,1000,547.958123
1709.007723,1000,551.672327
1619.428318,1000,552.465753
1595.193157,1000,556.132967
1630.166919,1000,556.910166
1683.58619,1000,560.629354
1654.025111,1000,561.411561
1681.782945,1000,566.137036
1643.827652,1000,566.912987
1633.219743,1000,571.403757
1683.015735,1000,572.151938
1613.258412,1000,576.979029
1653.654705,1000,577.698932
1690.230524,1000,581.320647
1555.241612,1000,582.131561
1595.099517,1000,586.077277
1736.104121,1000,586.869807
1631.295207,1000,591.240391
1622.691922,1000,591.986301
1428.1661,1000,596.379534
1638.055696,1000,597.143986
1594.995754,1000,600.657683
1701.24433,1000,601.420204
1658.557526,1000,605.874824
1660.509372,1000,606.609675
1599.911243,1000,611.337357
1635.786404,1000,612.108596
1471.990318,1000,615.713908
1635.139805,1000,616.494219
1591.588365,1000,620.05481
1657.707367,1000,620.858168
1591.677961,1000,624.378933
1673.48179,1000,625.110531
1623.153238,1000,628.809834
1582.834931,1000,629.555281
1626.684885,1000,633.967794
1594.632189,1000,634.711442
1665.135549,1000,638.410205
1671.853449,1000,639.149043
1639.243558,1000,642.744953
1667.467844,1000,643.495397
1652.979964,1000,644.26883
1632.339194,1000,647.831121
1578.174797,1000,648.635075
1533.80627,1000,652.313019
1520.255145,1000,653.074587
1641.843302,1000,656.688356
1649.617543,1000,657.458291
1556.86094,1000,661.017562
1613.244931,1000,661.786495
1627.387824,1000,665.873963
1510.087439,1000,666.61182
1672.819925,1000,670.552614
1634.862936,1000,671.355603
1612.962081,1000,675.466374
1603.129727,1000,676.18951
1656.716656,1000,679.83193
1702.28287,1000,680.626574
1666.321598,1000,684.27519
1586.321459,1000,685.011519
1555.843598,1000,688.635624
1615.474396,1000,689.424042
1678.040393,1000,693.064082
1636.969419,1000,693.867744
1644.091396,1000,698.626764
1641.572646,1000,699.411036
1588.291804,1000,702.981565
1457.679239,1000,703.763882
1654.887227,1000,708.391802
1613.706633,1000,709.161946
1646.329115,1000,712.67493
1635.244928,1000,713.489927
1604.242069,1000,717.021914
1590.328897,1000,717.80163
1587.884111,1000,721.290174
1621.957007,1000,722.045621
1652.000573,1000,725.597308
1651.791504,1000,726.353538
1557.260872,1000,731.218323
1668.0108,1000,732.021388
1605.9454,1000,735.739234
1651.765563,1000,736.516391
1645.765006,1000,740.091576
1642.207115,1000,740.983667
1636.726569,1000,741.804892
1593.365362,1000,746.41804
1611.879102,1000,747.190823
1670.575542,1000,751.51518
1695.204434,1000,752.327175
1645.623218,1000,756.658908
1638.902702,1000,757.431812
1687.683065,1000,760.937746
1645.259705,1000,761.747014
1665.014264,1000,765.674808
1622.164363,1000,766.520516
1676.044467,1000,770.89503
1685.989585,1000,771.667688
1629.644432,1000,775.771914
1671.575612,1000,776.585771
1653.010169,1000,780.927922
1654.194707,1000,781.713718
1627.045972,1000,785.295387
1675.252164,1000,786.080379
1686.341986,1000,789.630582
1628.587713,1000,790.416679
1674.342677,1000,793.994728
1665.506503,1000,794.771622
1688.545008,1000,798.346018
1665.010191,1000,799.147685
1589.938518,1000,802.798949
1669.581519,1000,803.626238
1637.664712,1000,808.53105
1690.130817,1000,809.269157
1633.470501,1000,812.771475
1682.789549,1000,813.591989
1657.488681,1000,817.134795
1727.482435,1000,817.907385
1679.053003,1000,822.236901
1664.029426,1000,823.025963
1626.93739,1000,826.643652
1652.540702,1000,827.439699
1651.365483,1000,831.020315
1640.501042,1000,831.75007
1680.024614,1000,835.366252
1634.924587,1000,836.087085
1690.294455,1000,839.717267
1690.842076,1000,840.512157
1649.385216,1000,841.28759
1631.981298,1000,845.614744
1724.522424,1000,846.372744
1684.324368,1000,850.437067
1674.555723,1000,851.197485
1651.366553,1000,855.072173
1659.908874,1000,855.872939
1664.375984,1000,859.957787
1655.687274,1000,860.739451
1705.346223,1000,864.318205
1709.670066,1000,865.045066
1632.30813,1000,869.211206
1671.489585,1000,870.015972
1608.736592,1000,873.507686
1644.53893,1000,874.281876
1650.385128,1000,877.836916
1661.911902,1000,878.616986
1576.89334,1000,882.46569
1661.476887,1000,883.246251
1684.030619,1000,886.775765
1689.955259,1000,887.557143
1645.59758,1000,891.17099
1675.994124,1000,891.966974
1642.556457,1000,895.547424
1709.392398,1000,896.357953
1708.514136,1000,900.383148
1676.204134,1000,901.123492
1620.578156,1000,904.664052
1702.968895,1000,905.429454
1698.395856,1000,908.954946
1669.395946,1000,909.711722
1721.941425,1000,913.299744
1698.707384,1000,914.095204
1662.031661,1000,918.019994
1676.090003,1000,918.779485
