#{"t_start": 1760901452.8084629, "env_id": "HalfCheetah-v5"}
r,l,t
1582.076466,1000,1.387915
1610.335157,1000,2.203628
1607.898916,1000,6.191046
1604.463802,1000,6.958952
1607.275504,1000,11.15807
1509.707618,1000,12.014405
1336.496268,1000,16.071536
1573.822461,1000,16.866323
1611.818471,1000,22.282148
1633.472915,1000,23.263692
1546.211182,1000,29.871379
1509.187529,1000,30.738631
1618.34128,1000,38.703349
1600.233272,1000,39.629697
1606.936194,1000,44.663403
1569.456325,1000,45.450319
1624.437561,1000,49.069281
1605.109553,1000,49.893756
1584.613388,1000,54.19995
1604.2924,1000,54.965533
1506.951041,1000,58.743171
1543.918038,1000,59.477021
1652.544027,1000,63.112561
1601.032857,1000,63.870703
1600.087223,1000,67.611265
1569.980673,1000,68.328346
1630.584034,1000,72.189122
1566.182358,1000,72.952328
1591.592009,1000,77.057261
1366.70649,1000,77.808672
1304.491933,1000,83.1475
1546.224351,1000,83.971398
1595.142389,1000,89.330937
1574.302573,1000,90.18592
1540.990219,1000,94.369015
1591.870134,1000,95.208253
1615.551995,1000,99.414735
1617.539539,1000,100.234138
1579.225823,1000,104.085091
1631.178704,1000,104.891184
1429.745204,1000,108.596466
1558.393939,1000,109.355999
1595.826147,1000,110.126149
1619.773001,1000,114.481815
1616.95903,1000,115.34734
1402.507825,1000,119.952781
1477.692676,1000,120.716319
1566.399522,1000,125.108305
1627.936124,1000,125.871765
1572.758074,1000,129.51365
1591.861143,1000,130.346258
1588.317201,1000,134.048877
1611.585997,1000,134.83881
1593.048417,1000,138.560515
1624.869902,1000,139.332739
1593.205096,1000,143.572532
1598.174153,1000,144.363172
1634.626454,1000,148.984994
1657.723095,1000,149.791629
1611.058316,1000,154.085065
1600.753734,1000,154.886774
1631.247848,1000,158.406835
1610.245845,1000,159.191064
1636.108885,1000,162.962512
1633.406746,1000,163.713546
1635.250869,1000,168.315418
1585.039551,1000,169.150464
1598.933407,1000,173.771328
1620.347286,1000,174.540174
1589.653399,1000,179.119462
1616.610214,1000,179.904366
1618.904834,1000,184.592845
1591.588795,1000,185.374823
1562.815495,1000,189.396483
1616.151965,1000,190.184045
1420.296838,1000,194.882184
1613.779668,1000,195.772259
1609.29783,1000,200.010654
1635.242296,1000,200.809039
1555.183683,1000,205.403781
1637.592286,1000,206.147567
1581.024213,1000,212.571731
1572.548314,1000,213.355973
1607.104241,1000,216.967967
1657.373461,1000,217.754262
1656.981038,1000,218.534364
1606.987391,1000,223.230751
1623.430577,1000,223.968999
1667.787863,1000,228.052903
1628.514058,1000,228.800397
1627.986547,1000,232.656289
1652.599667,1000,233.447723
1624.913493,1000,237.023103
1599.715343,1000,237.88467
1619.590529,1000,241.681428
1634.407417,1000,242.477591
1643.853882,1000,246.08461
1625.735258,1000,246.892584
1619.177471,1000,250.427557
1659.272315,1000,251.223527
1663.592805,1000,256.284745
1649.645036,1000,257.164447
1598.154533,1000,263.575988
1579.614067,1000,264.45271
1622.14016,1000,271.767309
1578.803229,1000,272.650876
1627.968484,1000,279.579299
1649.596473,1000,280.379033
1655.982139,1000,284.57809
1627.097434,1000,285.369982
1621.008494,1000,288.950874
1658.464637,1000,289.739414
1606.623013,1000,294.544655
1579.52323,1000,295.264739
1637.999446,1000,298.97975
1614.580244,1000,299.733826
1599.05347,1000,304.17023
1604.741417,1000,304.933942
1606.477817,1000,309.07028
1596.423193,1000,309.846775
1650.913677,1000,313.799604
1634.671912,1000,314.597564
1651.949338,1000,318.976012
1596.296008,1000,319.747882
1645.124942,1000,323.315931
1636.699512,1000,324.141212
1627.025228,1000,328.097322
1607.590807,1000,328.823053
1671.961993,1000,329.590136
1618.290706,1000,333.152216
1561.902138,1000,333.935827
1594.934952,1000,337.498064
1642.092977,1000,338.304834
1629.692714,1000,341.922295
1659.375375,1000,342.699905
1592.917051,1000,347.687998
1635.567172,1000,348.455383
1652.397239,1000,352.025121
1659.069096,1000,352.801655
1614.568726,1000,356.395717
1584.386982,1000,357.191783
1642.582202,1000,361.531333
1630.269292,1000,362.342551
1620.11654,1000,365.879059
1672.810263,1000,366.641747
1645.088953,1000,370.53422
1660.959649,1000,371.304564
1577.761527,1000,374.878698
1616.098648,1000,375.673714
1666.43371,1000,379.600271
1621.277132,1000,380.397968
1709.832773,1000,384.021035
1657.21072,1000,384.844775
1640.180704,1000,388.402723
1593.480017,1000,389.201848
1591.535518,1000,392.780927
1612.030303,1000,393.545889
1665.403283,1000,399.18427
1650.092387,1000,400.119728
1600.997108,1000,405.544048
1595.830235,1000,406.388887
1593.455792,1000,412.708766
1669.487335,1000,413.593079
1627.60395,1000,417.508041
1633.719773,1000,418.343781
1588.132087,1000,423.877539
1665.877556,1000,424.694534
1668.467624,1000,430.274807
1652.023153,1000,431.121737
1642.350385,1000,436.268709
1679.628812,1000,437.052635
1671.557361,1000,437.859864
1640.394039,1000,442.839387
1544.131642,1000,443.639935
1632.095659,1000,449.725124
1640.711869,1000,450.518539
1633.445987,1000,456.730242
1619.809998,1000,457.64774
1637.420886,1000,463.174932
1660.268915,1000,463.911182
1627.388184,1000,468.545553
1663.843644,1000,469.389249
1658.025358,1000,473.972445
1674.1931,1000,474.774379
1603.22868,1000,478.973477
1662.947808,1000,479.807064
1683.786687,1000,484.823543
1669.687249,1000,485.767293
1679.460457,1000,490.879554
1656.291175,1000,491.63269
1654.209879,1000,495.271991
1663.47997,1000,496.041893
1628.841793,1000,499.748239
1623.517143,1000,500.524922
1622.175791,1000,504.737056
1679.385167,1000,505.543494
1669.378744,1000,509.262101
1676.34268,1000,510.090322
1637.575139,1000,514.331418
1509.4401,1000,515.215994
1631.756509,1000,519.713848
1671.708522,1000,520.467639
1626.205163,1000,524.072587
1663.579786,1000,524.911037
1666.426332,1000,528.56962
1584.301414,1000,529.367175
1640.523157,1000,533.166686
1612.238264,1000,533.929404
1629.163536,1000,537.526351
1606.381483,1000,538.315083
1642.787715,1000,542.03479
1681.095794,1000,542.834906
1665.283731,1000,546.425683
1540.075056,1000,547.182013
1482.53806,1000,547.958729
1653.688406,1000,551.672909
1668.169199,1000,552.465872
1655.359818,1000,556.133296
1661.426831,1000,556.910545
1641.83025,1000,560.629709
1683.403668,1000,561.411915
1656.515519,1000,566.137376
1643.561424,1000,566.91334
1639.51002,1000,571.404349
1623.485766,1000,572.151949
1681.269683,1000,576.979433
1662.443155,1000,577.699075
1664.978619,1000,581.321004
1653.874029,1000,582.131829
1584.557989,1000,586.077946
1656.754552,1000,586.870683
1677.6428,1000,591.24115
1652.725518,1000,591.987032
1698.595126,1000,596.38024
1669.65193,1000,597.144711
1627.303858,1000,600.658072
1680.151723,1000,601.420841
1621.926891,1000,605.875566
1567.13102,1000,606.610393
1587.454842,1000,611.337732
1668.878272,1000,612.109237
1640.999246,1000,615.714287
1643.640296,1000,616.494929
1591.637853,1000,620.055198
1557.001208,1000,620.85888
1657.424454,1000,624.38
1625.759783,1000,625.111168
1690.798097,1000,628.810229
1645.235131,1000,629.555636
1641.314021,1000,633.968148
1621.731631,1000,634.712108
1566.798187,1000,638.410609
1570.785255,1000,639.149441
1673.708355,1000,642.745308
1661.604136,1000,643.49609
1615.416057,1000,644.269943
1579.358907,1000,647.831851
1631.440289,1000,648.63549
1659.34034,1000,652.313602
1629.572109,1000,653.075179
1528.605761,1000,656.688701
1691.38196,1000,657.458655
1650.559263,1000,661.018221
1687.153084,1000,661.787194
1635.540405,1000,665.87437
1641.423391,1000,666.612185
1674.199621,1000,670.552886
1616.17306,1000,671.356177
1618.488913,1000,675.467126
1639.15464,1000,676.189858
1622.293973,1000,679.832671
1653.745584,1000,680.627302
1596.271863,1000,684.275575
1658.251237,1000,685.012131
1660.705445,1000,688.635973
1677.701993,1000,689.424419
1550.799947,1000,693.064621
1716.604538,1000,693.867733
1652.45468,1000,698.627198
1643.825819,1000,699.411361
1619.352321,1000,702.982329
1672.97408,1000,703.764733
1696.940058,1000,708.39241
1639.651709,1000,709.162681
1644.503902,1000,712.675279
1631.914081,1000,713.490305
1593.225406,1000,717.022292
1638.974571,1000,717.801995
1631.983773,1000,721.290919
1625.352135,1000,722.04636
1660.134495,1000,725.598051
1595.401441,1000,726.353905
1637.083692,1000,731.219062
1612.717382,1000,732.021785
1631.927482,1000,735.739869
1652.01466,1000,736.516747
