#{"t_start": 1760901452.8517365, "env_id": "HalfCheetah-v5"}
r,l,t
1541.993799,1000,1.34442
1561.280747,1000,2.160295
1596.197473,1000,6.148141
1620.708712,1000,6.915714
1571.949707,1000,11.114766
1574.563813,1000,11.970747
1626.956883,1000,16.028552
1580.148269,1000,16.823004
1594.456385,1000,22.239131
1631.940465,1000,23.220455
1581.6875,1000,29.828247
1597.895659,1000,30.6954
1596.907224,1000,38.660189
1583.532664,1000,39.585916
1566.391546,1000,44.620411
1598.974348,1000,45.407073
1623.659739,1000,49.026087
1534.312514,1000,49.850745
1624.059056,1000,54.156669
1522.003605,1000,54.922253
1643.194546,1000,58.70026
1595.969174,1000,59.433407
1548.651545,1000,63.069261
1614.585379,1000,63.827056
1603.942345,1000,67.568072
1610.552621,1000,68.284718
1571.883704,1000,72.146216
1578.873409,1000,72.909046
1609.543221,1000,77.014399
1571.747006,1000,77.765384
1593.062939,1000,83.104266
1621.059023,1000,83.92803
1642.553691,1000,89.287674
1549.12752,1000,90.142938
1601.287281,1000,94.325646
1631.349343,1000,95.164734
1619.50183,1000,99.371667
1586.822922,1000,100.191119
1613.908234,1000,104.041591
1586.565953,1000,104.848198
1567.838603,1000,108.552802
1589.009114,1000,109.312758
1612.945485,1000,110.082863
1568.686291,1000,114.438965
1459.119152,1000,115.30441
1634.155594,1000,119.909759
1612.202363,1000,120.672687
1600.113338,1000,125.065054
1575.503358,1000,125.828202
1629.881787,1000,129.470359
1636.640923,1000,130.30325
1589.260733,1000,134.006001
1603.912207,1000,134.795377
1599.179691,1000,138.517178
1667.376169,1000,139.289834
1611.462319,1000,143.529168
1633.460709,1000,144.319886
1532.270537,1000,148.942052
1440.40197,1000,149.748028
1607.244531,1000,154.04182
1546.771172,1000,154.843518
1626.431604,1000,158.363953
1652.040036,1000,159.147563
1588.861093,1000,162.919571
1630.62113,1000,163.67029
1584.522162,1000,168.272079
1606.078648,1000,169.107589
1630.662535,1000,173.727929
1551.41029,1000,174.497186
1597.454021,1000,179.076601
1632.036069,1000,179.861017
1563.227283,1000,184.54962
1553.134888,1000,185.331534
1595.77095,1000,189.353323
1586.413425,1000,190.140784
1588.862333,1000,194.838569
1638.11945,1000,195.72896
1599.910602,1000,199.967366
1554.567387,1000,200.765793
1651.867079,1000,205.360742
1630.470541,1000,206.104495
1569.761505,1000,212.528698
1614.317818,1000,213.312606
1622.480775,1000,216.924789
1599.704739,1000,217.710973
1544.013429,1000,218.491157
1517.470744,1000,223.187449
1623.121606,1000,223.926097
1594.848699,1000,228.010019
1595.694952,1000,228.757143
1568.457675,1000,232.613003
1574.963826,1000,233.404774
1536.632261,1000,236.979734
1653.903342,1000,237.841365
1608.070591,1000,241.638116
1635.786541,1000,242.434628
1623.383682,1000,246.041343
1596.53154,1000,246.849306
1661.390362,1000,250.384542
1615.492195,1000,251.180167
1665.994907,1000,256.241445
1617.446761,1000,257.121134
1634.893394,1000,263.532797
1599.403762,1000,264.408996
1569.08208,1000,271.724378
1653.084283,1000,272.607321
1567.94517,1000,279.535636
1653.03598,1000,280.336058
1611.379878,1000,284.53477
1575.257948,1000,285.327198
1662.673793,1000,288.907604
1596.360965,1000,289.695902
1594.002675,1000,294.501649
1670.30038,1000,295.221351
1635.993068,1000,298.936615
1629.649445,1000,299.690181
1658.713652,1000,304.126581
